APR,AUG,Total,DEC,FEB,JAN,JUL,JUN,MAR,MAY,NOV,OCT,Parameter,SEP,Year
2.3,481.1,3373.2,33.6,87.1,49.2,365.1,517.5,29.2,528.8,558.2,388.5,Actual,332.6,1901
0,753.7,3520.7,160.5,159.8,0,228.9,537.1,12.2,446.1,359,197.2,Actual,666.2,1902
1,326.7,2957.4,225,144,12.7,728.4,479.9,0,235.1,284.4,181.2,Actual,339,1903
202.4,160.1,3079.6,40.1,14.7,9.4,502,495.1,0,304.5,308.7,222.2,Actual,820.4,1904
26.9,330.5,2566.7,344.7,0,1.3,368.7,628.7,3.3,279.5,25.4,260.7,Actual,297,1905
0,320.5,2534.4,79.2,0,36.6,247.7,733.3,0,556.1,128.9,267.8,Actual,164.3,1906
21.6,377.6,3347.9,245.6,0,110.7,443.9,305.2,113.3,616.3,648.9,264.4,Actual,200.4,1907
29,699.9,3576.4,196.9,85.1,20.9,481.4,693.6,0,562,208.1,170.7,Actual,428.8,1908
89.3,337.4,2899.4,153.5,22.7,26.6,264.3,472.7,206.3,224.5,267.3,208.2,Actual,626.6,1910
122.5,187.1,2687.2,247.1,8.4,0,253,649,0,327.3,94.5,333.8,Actual,464.5,1911
21.9,370.3,2960.5,2.3,0.8,583.7,468.9,549.8,0,140.7,117.2,318.7,Actual,386.2,1912
2.5,205.8,2365.8,67.5,0.5,84.8,280.8,530,1.3,190.7,133,288.8,Actual,580.1,1913
37.7,520.5,2957.8,289.7,0,0,792.8,383.3,0,298.8,184.4,139.8,Actual,310.8,1914
40.9,317.2,2741.3,318,56.7,45,269,334.7,33.3,170.2,258.4,468.1,Actual,429.8,1915
0.5,425,2937.5,133.7,0,0,317.3,450.1,0,487.4,192.6,369.7,Actual,561.2,1916
4.5,437.4,2612.4,236.9,3.6,8,394.8,301.1,112,295.9,108.3,238.1,Actual,471.8,1917
10.7,455.4,3275,175,6.9,77.4,200.9,710.8,11.4,729.3,366.9,227,Actual,303.3,1918
35.5,259.8,2352.1,258.4,18,10.2,246.5,542.5,0,283.9,340.4,186.2,Actual,170.7,1919
13,467.4,2943.2,85.5,7.4,122.3,294.4,546.9,3.1,237.4,262.9,397.5,Actual,505.4,1920
37.5,330,2606.4,41.5,3.1,13.2,487.1,282.7,0,351.2,118.2,360.7,Actual,581.2,1921
323.1,307.4,3554.2,192.2,34.3,245.3,425.8,506.1,15.6,289.7,541,162,Actual,511.7,1922
91.3,182.2,,70.6,0,79.5,636.9,808.4,,293.5,197.4,131.9,Actual,560.5,1923
89.7,290.9,,,0,28.7,493.3,261.2,14.8,191.2,378.6,331.1,Actual,251.2,1924
50.4,278.2,2480.5,196,0,36.6,241.8,663.8,8.6,282.2,271.5,249.5,Actual,201.9,1925
0.5,523.7,3282.2,560.7,0,122.1,195.3,370,0,198.4,148.4,443.8,Actual,719.3,1926
108.6,370.1,2442.9,65.5,17.5,3,195.2,433.3,17.8,504.1,274.1,327.5,Actual,126.2,1927
129.3,391.5,2998.3,13.5,67.6,50.9,406.3,410.2,80.7,499.5,99.5,444.5,Actual,404.8,1928
69.8,644.7,2926.6,13.5,118.4,74.2,134,588.8,129.2,316.6,251.5,413,Actual,172.9,1929
